questionnaire_id,questionnaire_title,response_id,submitted_at_iso,rater_id,rater_username,book_id,book_title,book_url,question_id,question_scope,question_order,question_text,page_number,likert
1,Education Sciences 2025 Triage,23,2025-07-04T08:58:15.840182+00:00,112,anon_4972d0de,190,Sumo-Wrestler Tanya Loves Polite Forms of Address (gpt-image-1 version),/accounts/public_content/190/,13,BOOK,1,Language level is appropriate for mid-B1–B2 learners.,,5
1,Education Sciences 2025 Triage,23,2025-07-04T08:58:15.840182+00:00,112,anon_4972d0de,190,Sumo-Wrestler Tanya Loves Polite Forms of Address (gpt-image-1 version),/accounts/public_content/190/,14,BOOK,2,Content & visuals feel engaging/relevant for an international EFL classroom.,,5
1,Education Sciences 2025 Triage,23,2025-07-04T08:58:15.840182+00:00,112,anon_4972d0de,190,Sumo-Wrestler Tanya Loves Polite Forms of Address (gpt-image-1 version),/accounts/public_content/190/,15,BOOK,3,I would seriously consider using this book (or parts of it) in a lesson.,,5
1,Education Sciences 2025 Triage,30,2025-07-04T09:06:57.521274+00:00,113,anon_01d86c36,190,Sumo-Wrestler Tanya Loves Polite Forms of Address (gpt-image-1 version),/accounts/public_content/190/,13,BOOK,1,Language level is appropriate for mid-B1–B2 learners.,,5
1,Education Sciences 2025 Triage,30,2025-07-04T09:06:57.521274+00:00,113,anon_01d86c36,190,Sumo-Wrestler Tanya Loves Polite Forms of Address (gpt-image-1 version),/accounts/public_content/190/,14,BOOK,2,Content & visuals feel engaging/relevant for an international EFL classroom.,,5
1,Education Sciences 2025 Triage,30,2025-07-04T09:06:57.521274+00:00,113,anon_01d86c36,190,Sumo-Wrestler Tanya Loves Polite Forms of Address (gpt-image-1 version),/accounts/public_content/190/,15,BOOK,3,I would seriously consider using this book (or parts of it) in a lesson.,,4
1,Education Sciences 2025 Triage,49,2025-07-04T10:14:21.199955+00:00,113,anon_01d86c36,190,Sumo-Wrestler Tanya Loves Polite Forms of Address (gpt-image-1 version),/accounts/public_content/190/,13,BOOK,1,Language level is appropriate for mid-B1–B2 learners.,,4
1,Education Sciences 2025 Triage,49,2025-07-04T10:14:21.199955+00:00,113,anon_01d86c36,190,Sumo-Wrestler Tanya Loves Polite Forms of Address (gpt-image-1 version),/accounts/public_content/190/,14,BOOK,2,Content & visuals feel engaging/relevant for an international EFL classroom.,,5
1,Education Sciences 2025 Triage,49,2025-07-04T10:14:21.199955+00:00,113,anon_01d86c36,190,Sumo-Wrestler Tanya Loves Polite Forms of Address (gpt-image-1 version),/accounts/public_content/190/,15,BOOK,3,I would seriously consider using this book (or parts of it) in a lesson.,,5
1,Education Sciences 2025 Triage,53,2025-07-04T10:16:36.975391+00:00,114,anon_fb1703e0,190,Sumo-Wrestler Tanya Loves Polite Forms of Address (gpt-image-1 version),/accounts/public_content/190/,13,BOOK,1,Language level is appropriate for mid-B1–B2 learners.,,4
1,Education Sciences 2025 Triage,53,2025-07-04T10:16:36.975391+00:00,114,anon_fb1703e0,190,Sumo-Wrestler Tanya Loves Polite Forms of Address (gpt-image-1 version),/accounts/public_content/190/,14,BOOK,2,Content & visuals feel engaging/relevant for an international EFL classroom.,,4
1,Education Sciences 2025 Triage,53,2025-07-04T10:16:36.975391+00:00,114,anon_fb1703e0,190,Sumo-Wrestler Tanya Loves Polite Forms of Address (gpt-image-1 version),/accounts/public_content/190/,15,BOOK,3,I would seriously consider using this book (or parts of it) in a lesson.,,5
1,Education Sciences 2025 Triage,79,2025-07-05T08:09:19.861454+00:00,115,anon_c3721764,190,Sumo-Wrestler Tanya Loves Polite Forms of Address (gpt-image-1 version),/accounts/public_content/190/,13,BOOK,1,Language level is appropriate for mid-B1–B2 learners.,,4
1,Education Sciences 2025 Triage,79,2025-07-05T08:09:19.861454+00:00,115,anon_c3721764,190,Sumo-Wrestler Tanya Loves Polite Forms of Address (gpt-image-1 version),/accounts/public_content/190/,14,BOOK,2,Content & visuals feel engaging/relevant for an international EFL classroom.,,5
1,Education Sciences 2025 Triage,79,2025-07-05T08:09:19.861454+00:00,115,anon_c3721764,190,Sumo-Wrestler Tanya Loves Polite Forms of Address (gpt-image-1 version),/accounts/public_content/190/,15,BOOK,3,I would seriously consider using this book (or parts of it) in a lesson.,,5
1,Education Sciences 2025 Triage,98,2025-07-22T10:26:54.418249+00:00,124,anon_22bf75c0,190,Sumo-Wrestler Tanya Loves Polite Forms of Address (gpt-image-1 version),/accounts/public_content/190/,13,BOOK,1,Language level is appropriate for mid-B1–B2 learners.,,5
